latitude,longitude,acq_date,acq_time,confidence
-17.8233,128.8444,11/1/2000,1407,77
-17.7895,128.8742,11/1/2000,1407,71
-18.1488,125.5757,11/1/2000,1407,70
-18.147,125.569,11/1/2000,1407,14
-18.0908,125.6197,11/1/2000,1407,44
-18.0929,125.6008,11/1/2000,1407,47
-18.0805,125.5993,11/1/2000,1407,100
-18.0723,125.56,11/1/2000,1407,91
-18.064,125.5205,11/1/2000,1407,91
-18.066,125.5014,11/1/2000,1407,100
-18.0623,125.5148,11/1/2000,1407,98
-18.0646,125.4957,11/1/2000,1407,100
-17.3478,130.274,11/1/2000,1407,100
-17.3492,130.2643,11/1/2000,1407,100
-17.3505,130.2546,11/1/2000,1407,91
-17.8356,126.4593,11/1/2000,1407,64
-17.8145,126.5378,11/1/2000,1407,100
-17.8164,126.5218,11/1/2000,1407,100
-17.8183,126.5062,11/1/2000,1407,60
-17.8202,126.4901,11/1/2000,1407,88
-17.8221,126.4738,11/1/2000,1407,93
-17.3257,130.231,11/1/2000,1407,82
-17.6736,126.8593,11/1/2000,1407,64
-17.5572,126.9735,11/1/2000,1407,72
-16.5061,128.4047,11/1/2000,1407,88
-16.5075,128.3934,11/1/2000,1407,89
-16.4976,128.392,11/1/2000,1407,84
-16.4991,128.3808,11/1/2000,1407,73
-16.4792,128.3782,11/1/2000,1407,86
-16.4807,128.3669,11/1/2000,1407,83
-15.9253,129.0377,11/1/2000,1407,77
-14.7287,125.4486,11/1/2000,1408,73
-14.7307,125.4315,11/1/2000,1408,68
-33.1073,116.2702,11/1/2000,1541,50
-33.0962,116.2672,11/1/2000,1541,85
-33.0643,116.3122,11/1/2000,1541,75
-27.0083,119.5427,11/1/2000,1542,100
-27.0163,119.5069,11/1/2000,1542,100
-27.0166,119.5384,11/1/2000,1542,91
-27.0244,119.5024,11/1/2000,1542,98
-27.0009,119.5337,11/1/2000,1542,100
-27.0087,119.4979,11/1/2000,1542,100
-22.7662,119.1076,11/1/2000,1544,100
-22.7494,119.103,11/1/2000,1544,100
-22.7325,119.0987,11/1/2000,1544,96
-22.7415,119.0579,11/1/2000,1544,77
-23.5383,115.1864,11/1/2000,1544,64
-23.5422,115.1657,11/1/2000,1544,68
-23.5256,115.1836,11/1/2000,1544,94
-22.7553,119.1431,11/1/2000,1544,9
-22.764,119.1021,11/1/2000,1544,100
-23.5394,115.1812,11/1/2000,1544,48
-23.5267,115.1783,11/1/2000,1544,77
-22.7303,119.0932,11/1/2000,1544,81
-23.4789,115.0812,11/1/2000,1544,59
-21.2202,117.4451,11/1/2000,1544,49
-11.8046,142.6722,11/2/2000,58,69
-11.8061,142.6822,11/2/2000,58,59
-12.7184,142.373,11/2/2000,58,80
-12.72,142.3831,11/2/2000,58,81
-12.7022,141.9876,11/2/2000,58,78
-12.7038,141.9982,11/2/2000,58,94
